fecha,rendimiento_acumulado,rentabilidad step,comision,rentabilidad_1,rentabilidad_2,rentabilidad_3,rentabilidad_4,porcentaje_1,porcentaje_2,porcentaje_3,porcentaje_4,precios_1,precios_2,precios_3
20211018,208.24169512089716,1.0,0.0,1.0,1.0268255,1.0169817,0.99282974,1.0,0.0,0.0,0.0,8.830916,29.695532,2.963907
20211019,208.24169512089716,1.0,0.0,1.0,1.0194899,0.9918085,1.0262138,1.0,0.0,0.0,0.0,9.00303,29.45228,3.0416021
20211020,208.24169512089716,1.0,0.0,1.0,0.99166167,0.994282,0.9880098,1.0,0.0,0.0,0.0,8.927959,29.283873,3.0051327
20211021,208.24169512089716,1.0,0.0,1.0,0.99630845,0.9827477,0.9949875,1.0,0.0,0.0,0.0,8.895001,28.778658,2.9900694
20211024,208.24169512089716,1.0,0.0,1.0,0.9932072,0.99837446,1.0135225,1.0,0.0,0.0,0.0,8.834579,28.731876,3.0305028
20211025,208.24169512089716,1.0,0.0,1.0,1.0244557,1.0058614,0.99751455,1.0,0.0,0.0,0.0,9.050635,28.900284,3.0229707
20211026,208.24169512089716,1.0,0.0,1.0,1.0165893,0.99773383,1.0001311,1.0,0.0,0.0,0.0,9.200779,28.834791,3.0233672
20211027,208.24169512089716,1.0,0.0,1.0,1.0199004,1.0074627,0.9809887,1.0,0.0,0.0,0.0,9.383879,29.049978,2.965889
20211028,208.24169512089716,1.0,0.0,1.0,0.99658525,1.0175896,1.0062816,1.0,0.0,0.0,0.0,9.351835,29.560953,2.9845197
20211031,208.24169512089716,1.0,0.0,1.0,1.0078317,1.0256082,1.0138133,1.0,0.0,0.0,0.0,9.4250765,30.317957,3.0257456
20211101,208.24169512089716,1.0,0.0,1.0,1.0,0.9903245,0.98676807,1.0,0.0,0.0,0.0,9.4250765,30.024616,2.9857092
20211102,208.24169512089716,1.0,0.0,1.0,0.9849441,0.9924362,0.9962826,1.0,0.0,0.0,0.0,9.283174,29.797516,2.97461
20211103,208.24169512089716,1.0,0.0,1.0,1.0064102,1.0222292,0.97654575,1.0,0.0,0.0,0.0,9.342681,30.459892,2.9048429
20211104,208.24169512089716,1.0,0.0,1.0,1.0068594,1.0024853,1.0278385,1.0,0.0,0.0,0.0,9.406766,30.535595,2.9857092
20211107,208.24169512089716,1.0,0.0,1.0,0.9863747,0.9752091,0.99827397,1.0,0.0,0.0,0.0,9.278596,29.778591,2.9805558
20211108,208.24169512089716,1.0,0.0,1.0,0.99654675,1.0133461,1.0154276,1.0,0.0,0.0,0.0,9.246554,30.176018,3.0265386
20211109,208.24169512089716,1.0,0.0,1.0,1.0059404,1.0122296,1.0294695,1.0,0.0,0.0,0.0,9.301483,30.545057,3.1157293
20211110,208.24169512089716,1.0,0.0,1.0,0.9965551,0.9842007,1.0038168,1.0,0.0,0.0,0.0,9.269441,30.062468,3.1276214
20211111,208.24169512089716,1.0,0.0,1.0,0.99456793,1.0009443,1.0038023,1.0,0.0,0.0,0.0,9.219089,30.090855,3.1395137
20211114,208.24169512089716,1.0,0.0,1.0,1.0124131,1.0009434,0.9869949,1.0,0.0,0.0,0.0,9.333527,30.119242,3.098684
20211115,208.24169512089716,1.0,0.0,1.0,0.99950945,0.9968583,0.9978253,1.0,0.0,0.0,0.0,9.328948,30.024616,3.0919454
20211116,208.24169512089716,1.0,0.0,1.0,1.0004908,0.9943272,1.0041023,1.0,0.0,0.0,0.0,9.333527,29.854292,3.1046298
20211117,208.24169512089716,1.0,0.0,1.0,0.99656683,1.0082408,1.0075332,1.0,0.0,0.0,0.0,9.301483,30.100317,3.1280174
20211118,208.24169512089716,1.0,0.0,1.0,0.99311036,0.9578749,1.005576,1.0,0.0,0.0,0.0,9.237399,28.832338,3.1454594
20211121,208.24169512089716,1.0,0.0,1.0,0.9935578,1.0187069,1.0638942,1.0,0.0,0.0,0.0,9.17789,29.371704,3.346436
20211122,208.24169512089716,1.0,0.0,1.0,1.0014964,1.0270618,0.95629,1.0,0.0,0.0,0.0,9.191624,30.166555,3.2001634
20211123,208.24169512089716,1.0,0.0,1.0,1.0044822,0.975847,1.0018581,1.0,0.0,0.0,0.0,9.232822,29.437943,3.2061095
20211124,208.24169512089716,1.0,0.0,1.0,1.0178481,0.98874956,0.99530154,1.0,0.0,0.0,0.0,9.397612,29.106752,3.1910458
20211125,208.24169512089716,1.0,0.0,1.0,0.96892345,0.9505851,0.97118014,1.0,0.0,0.0,0.0,9.105566,27.668446,3.0990803
20211128,208.24169512089716,1.0,0.0,1.0,0.9969837,1.0147059,1.0134306,1.0,0.0,0.0,0.0,9.078101,28.075336,3.1407027
20211129,208.24169512089716,1.0,0.0,1.0,0.9987899,0.93899566,1.008835,1.0,0.0,0.0,0.0,9.067116,26.36262,3.1684508
20211130,208.24169512089716,1.0,0.0,1.0,1.0157514,1.0448672,0.9977914,1.0,0.0,0.0,0.0,9.209935,27.545435,3.161453
20211201,208.24169512089716,1.0,0.0,1.0,0.9572564,0.9756098,0.96093744,1.0,0.0,0.0,0.0,8.816269,26.873596,3.0379586
20211202,208.24169512089716,1.0,0.0,1.0,1.0066459,0.98063374,0.99444443,1.0,0.0,0.0,0.0,8.874861,26.353155,3.021081
20211205,208.24169512089716,1.0,0.0,1.0,1.0276458,1.0276482,1.025344,1.0,0.0,0.0,0.0,9.1202135,27.081772,3.0976474
20211206,208.24169512089716,1.0,0.0,1.0,1.0098376,1.0363382,1.000133,1.0,0.0,0.0,0.0,9.209935,28.065874,3.0980594
20211207,208.24169512089716,1.0,0.0,1.0,0.9950297,0.9710047,0.9856497,1.0,0.0,0.0,0.0,9.164159,27.252096,3.0536013
20211208,208.24169512089716,1.0,0.0,1.0,0.9856145,0.9819445,0.9963602,1.0,0.0,0.0,0.0,9.032328,26.760046,3.0424867
20211209,208.24169512089716,1.0,0.0,1.0,0.987026,1.0042433,1.0078473,1.0,0.0,0.0,0.0,8.915142,26.873596,3.0663621
20211212,207.2832315693916,0.99642235,0.0010249999910593034,1.0,1.0067776,0.99436617,0.9912741,0.59,0.0,0.0,0.41,8.975566,26.722195,3.0396054
20211213,211.81121012276995,1.0220747,0.00023029588162899018,1.0,0.994492,1.0247875,1.0441494,0.5,0.0,0.0,0.5,8.926128,27.384571,3.1738021
20211214,211.26979064250753,0.99747086,2.6997476816177368e-05,1.0,1.0032821,0.9478231,0.9949417,0.5,0.0,0.0,0.5,8.955424,25.955729,3.1577482
20211215,210.92485027352777,0.99837047,3.1694769859313967e-06,1.0,1.009814,1.0145826,0.99674094,0.5,0.0,0.0,0.5,9.043313,26.33423,3.147457
20211216,211.82096158097477,1.0042505,2.0402669906616213e-06,1.0,0.98683935,0.9992813,1.0085012,0.5,0.0,0.0,0.5,8.924297,26.315304,3.1742141
20211219,211.10561559721378,0.99662817,5.290806293487549e-06,1.0,0.99897414,0.99316806,0.9932564,0.5,0.0,0.0,0.5,8.915142,26.135519,3.1528084
20211220,212.35883285041697,1.0059407,4.228949546813965e-06,1.0,1.0166359,1.0076032,1.0118815,0.5,0.0,0.0,0.5,9.063454,26.33423,3.1902683
20211221,212.68608360450173,1.0015484,7.382184267044068e-06,1.0,1.0044446,1.0075458,1.0030968,0.5,0.0,0.0,0.5,9.103737,26.532944,3.2001479
20211222,213.08236372115556,1.0018651,1.9325315952301025e-06,1.0,1.0136765,1.0039229,1.0037303,0.5,0.0,0.0,0.5,9.228244,26.63703,3.2120855
20211226,213.08186785413056,1.0,2.3271143436431887e-06,1.0,0.99503964,1.0024867,1.0,0.5,0.0,0.0,0.5,9.182468,26.703268,3.2120855
20211227,213.9011118099849,1.0038447,0.0,1.0,1.0259224,0.99929136,1.0076894,0.5,0.0,0.0,0.5,9.4205,26.684345,3.2367842
20211228,213.45125441155201,0.9979017,4.787296056747436e-06,1.0,0.999514,0.99964535,0.9958033,0.5,0.0,0.0,0.5,9.415921,26.674881,3.2232003
20211229,211.7332579473877,0.99195397,2.6284903287887575e-06,1.0,1.0121536,1.0120611,0.983908,0.5,0.0,0.0,0.5,9.530358,26.996609,3.1713326
20220102,211.82730299075078,1.0004543,1.0139048099517822e-05,1.0,1.0033622,1.0045565,1.0009086,0.5,0.0,0.0,0.5,9.562401,27.119621,3.1742141
